Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.077375, 0.07735, 0.080857, 0.080234, 109639.476
<module 'time' (built-in)>, 0.080299, 0.077735, 0.080799, 0.078925, 120832.454
<module 'time' (built-in)>, 0.079001, 0.077695, 0.0805, 0.079898, 120506.52
<module 'time' (built-in)>, 0.079898, 0.079001, 0.0801, 0.079235, 109281.535
<module 'time' (built-in)>, 0.079232, 0.07823, 0.0797, 0.078698, 107771.151
<module 'time' (built-in)>, 0.078696, 0.077991, 0.079289, 0.078751, 99569.817
<module 'time' (built-in)>, 0.078771, 0.0777, 0.0795, 0.079108, 84598.599
<module 'time' (built-in)>, 0.079108, 0.0755, 0.0795, 0.07754, 129509.836
<module 'time' (built-in)>, 0.077482, 0.075, 0.07895, 0.077297, 111567.055
<module 'time' (built-in)>, 0.077298, 0.074409, 0.078399, 0.075564, 124559.809
<module 'time' (built-in)>, 0.075564, 0.07225, 0.07639, 0.07558, 133361.932
<module 'time' (built-in)>, 0.07558, 0.072705, 0.079096, 0.078267, 150760.023
<module 'time' (built-in)>, 0.078281, 0.074631, 0.078456, 0.076348, 112289.93
<module 'time' (built-in)>, 0.076349, 0.07588, 0.0775, 0.076593, 76768.237
<module 'time' (built-in)>, 0.076593, 0.07646, 0.077567, 0.077072, 72138.857
<module 'time' (built-in)>, 0.07706, 0.07635, 0.077684, 0.077185, 86016.675
<module 'time' (built-in)>, 0.077184, 0.076925, 0.080173, 0.079811, 101295.715
<module 'time' (built-in)>, 0.079854, 0.078476, 0.079927, 0.079353, 90643.099
<module 'time' (built-in)>, 0.079361, 0.077853, 0.080394, 0.078334, 102010.733
<module 'time' (built-in)>, 0.078334, 0.075078, 0.078375, 0.076419, 122205.145
<module 'time' (built-in)>, 0.076469, 0.075636, 0.077515, 0.076946, 83692.768
<module 'time' (built-in)>, 0.076947, 0.0727, 0.077222, 0.074027, 122854.452
<module 'time' (built-in)>, 0.074028, 0.0728, 0.075563, 0.073401, 102442.288
<module 'time' (built-in)>, 0.07346, 0.070702, 0.073682, 0.070826, 62548.392
<module 'time' (built-in)>, 0.070826, 0.069956, 0.072166, 0.071957, 102713.029
<module 'time' (built-in)>, 0.07194, 0.070652, 0.072189, 0.071832, 94656.26
<module 'time' (built-in)>, 0.071832, 0.0691, 0.072084, 0.070112, 113758.357
<module 'time' (built-in)>, 0.070111, 0.069935, 0.07171, 0.071058, 116930.885
<module 'time' (built-in)>, 0.071058, 0.070562, 0.071536, 0.071152, 89236.209
<module 'time' (built-in)>, 0.071199, 0.070612, 0.072469, 0.071989, 117288.426
<module 'time' (built-in)>, 0.071939, 0.070629, 0.072889, 0.070873, 139666.675
<module 'time' (built-in)>, 0.070939, 0.070577, 0.072085, 0.070923, 77794.844
<module 'time' (built-in)>, 0.070989, 0.070698, 0.0719, 0.071614, 120942.175
<module 'time' (built-in)>, 0.071652, 0.070008, 0.071939, 0.071192, 116303.532
<module 'time' (built-in)>, 0.071188, 0.070145, 0.0719, 0.071897, 81076.294
<module 'time' (built-in)>, 0.071896, 0.071649, 0.073104, 0.072534, 77262.721
<module 'time' (built-in)>, 0.072555, 0.070579, 0.072796, 0.070795, 90561.613
<module 'time' (built-in)>, 0.070795, 0.06753, 0.070882, 0.068648, 123345.359
<module 'time' (built-in)>, 0.06865, 0.067558, 0.069946, 0.069747, 89644.933
<module 'time' (built-in)>, 0.069747, 0.06854, 0.070258, 0.069004, 83226.581
<module 'time' (built-in)>, 0.06903, 0.068791, 0.07052, 0.069534, 83426.801
<module 'time' (built-in)>, 0.069534, 0.06915, 0.070023, 0.069321, 67626.216
<module 'time' (built-in)>, 0.069321, 0.069135, 0.071147, 0.07075, 64377.737
<module 'time' (built-in)>, 0.07075, 0.070154, 0.071898, 0.071264, 94611.48
<module 'time' (built-in)>, 0.071208, 0.068, 0.071477, 0.068217, 129405.675
<module 'time' (built-in)>, 0.06818, 0.064484, 0.068692, 0.064961, 157902.201
<module 'time' (built-in)>, 0.064962, 0.062372, 0.06511, 0.062704, 121296.921
<module 'time' (built-in)>, 0.062752, 0.060375, 0.062778, 0.06126, 130582.77
<module 'time' (built-in)>, 0.061204, 0.060895, 0.063266, 0.062168, 98257.17
<module 'time' (built-in)>, 0.062168, 0.061448, 0.06284, 0.061855, 84620.285
<module 'time' (built-in)>, 0.061855, 0.057955, 0.061882, 0.058252, 123159.135
<module 'time' (built-in)>, 0.058272, 0.056511, 0.059341, 0.057017, 170909.476
<module 'time' (built-in)>, 0.057048, 0.056778, 0.058145, 0.058094, 105788.603
